wrist_roll_L,wrist_roll_F,grip_L,grip_F,raw_L,raw_F
-0.1,-2.3,9.8,7.9,2904,1051
0.4,-1.8,10.4,8.6,2895,1062
0.9,-1.3,11.0,9.5,2885,1072
1.2,-1.0,11.5,10.0,2876,1080
1.4,-0.5,12.2,10.7,2867,1087
1.8,-0.0,12.9,11.2,2854,1095
2.0,0.4,13.7,11.9,2842,1104
2.3,0.8,14.6,12.6,2829,1113
2.4,1.2,15.6,13.4,2814,1122
2.6,1.5,16.8,14.2,2794,1133
2.6,1.8,18.3,15.1,2770,1145
2.7,2.0,19.9,16.3,2748,1160
2.8,2.2,20.9,17.4,2730,1175
2.8,2.3,21.9,18.9,2716,1194
2.8,2.5,22.9,20.3,2698,1212
2.8,2.5,24.6,21.6,2674,1230
2.8,2.6,26.0,22.8,2651,1244
2.9,2.6,27.6,24.0,2626,1259
2.9,2.7,28.9,25.1,2608,1274
3.0,2.7,30.1,26.8,2589,1295
3.1,2.7,31.2,28.2,2572,1315
3.2,2.8,32.2,29.7,2558,1333
3.4,2.8,32.9,30.9,2545,1348
3.7,2.9,33.8,31.8,2533,1360
4.0,3.0,34.4,32.8,2523,1372
4.2,3.2,35.0,33.5,2514,1380
4.5,3.3,35.5,34.2,2507,1389
4.7,3.4,35.9,34.7,2501,1397
4.9,3.7,36.1,35.3,2498,1403
5.1,3.9,36.3,35.6,2495,1407
5.2,4.2,36.4,35.6,2494,1408
5.2,4.4,36.4,35.7,2494,1409
5.3,4.6,36.4,35.7,2494,1409
5.3,4.8,36.4,35.7,2494,1409
5.3,4.9,36.4,35.7,2494,1409
5.3,5.0,36.4,35.7,2494,1409
5.3,5.1,36.4,35.7,2494,1409
5.2,5.2,36.4,35.7,2494,1409
5.2,5.2,36.4,35.7,2494,1409
5.2,5.2,36.4,35.8,2494,1410
5.2,5.2,36.4,35.8,2494,1409
5.3,5.2,36.4,35.7,2494,1409
5.3,5.2,36.4,35.7,2494,1409
5.3,5.2,36.4,35.7,2494,1409
5.3,5.2,36.4,35.7,2494,1409
5.2,5.2,36.4,35.8,2494,1410
5.2,5.2,36.4,35.8,2494,1410
5.2,5.2,36.4,35.8,2494,1410
5.2,5.2,36.4,35.7,2494,1409
5.1,5.2,36.4,35.8,2494,1410
4.9,5.2,36.4,35.8,2493,1410
4.8,5.2,36.4,35.8,2493,1410
4.7,5.2,36.4,35.8,2494,1410
4.7,5.2,36.4,35.8,2493,1410
4.7,5.1,36.4,35.8,2493,1410
4.7,5.1,36.4,35.8,2493,1410
4.7,5.0,36.4,35.8,2493,1410
4.8,5.0,36.4,35.8,2493,1410
4.7,5.0,36.4,35.8,2493,1410
4.7,4.9,36.4,35.8,2494,1410
4.6,4.9,36.4,35.8,2494,1410
4.6,4.9,36.4,35.8,2494,1410
4.6,4.9,36.4,35.8,2494,1410
4.6,4.9,36.4,35.8,2494,1410
4.5,4.9,36.4,35.8,2493,1410
4.5,4.9,36.4,35.8,2493,1410
4.6,4.9,36.4,35.8,2493,1410
4.6,4.9,36.4,35.8,2494,1410
4.5,4.9,36.4,35.8,2494,1410
4.5,4.9,36.4,35.8,2494,1410
4.5,4.8,36.4,35.8,2494,1410
